Target,City,RÂ²,MAE,RMSE,N
Energy,All,0.7590286039584511,34.13856523404654,56.82717135525313,9413
Energy,Cambridge,0.862425633112434,32.29729878947555,48.776455256408575,421
Energy,Boston,0.8641284767591146,36.32324642048889,58.521734134188065,628
Energy,Liverpool,0.6756941622386365,36.825619672488955,67.37708328365392,4291
Energy,Sheffield,0.8145160942321149,31.16116351362478,43.66451297867386,4073
Carbon,All,0.5572579000740139,5.8917642857169925,13.414824274451524,9413
Carbon,Cambridge,0.874896438581113,5.379415365225538,7.597197563431181,421
Carbon,Boston,0.8436525061230004,6.3746761450739005,10.48989750489445,628
Carbon,Liverpool,0.2508149296688178,6.45136594779479,17.800093627709703,4291
Carbon,Sheffield,0.8202257463410021,5.280710889172661,7.69161381462541,4073
Heating Cost,All,0.7276975057043207,147.35255652094483,295.4284408841722,9412
Heating Cost,Cambridge,0.830279099991176,149.35781907976653,294.86076500537513,421
Heating Cost,Boston,0.6642104294753273,156.2897081796099,271.58614678104,628
Heating Cost,Liverpool,0.7513783943910742,156.68982056132387,325.4406802290917,4291
Heating Cost,Sheffield,0.6586318353611138,135.92747135980233,264.12444787137133,4072
Total Cost,All,0.7106315011529747,178.24653902307986,338.78629109589815,9413
Total Cost,Cambridge,0.7763028242033871,190.58322683060769,369.9490740868185,421
Total Cost,Boston,0.6377505461705557,189.07157743985275,325.46723903006904,628
Total Cost,Liverpool,0.7505063072484959,188.48432364971194,356.59263572118,4291
Total Cost,Sheffield,0.6266779224377252,164.51656025421642,317.50980312237886,4073
